=== Run information ===

Scheme:       weka.classifiers.meta.Stacking -X 10 -M "weka.classifiers.rules.ZeroR " -S 1 -num-slots 1 -B "weka.classifiers.rules.ZeroR "
Relation:     soybean
Instances:    683
Attributes:   36
              date
              plant-stand
              precip
              temp
              hail
              crop-hist
              area-damaged
              severity
              seed-tmt
              germination
              plant-growth
              leaves
              leafspots-halo
              leafspots-marg
              leafspot-size
              leaf-shread
              leaf-malf
              leaf-mild
              stem
              lodging
              stem-cankers
              canker-lesion
              fruiting-bodies
              external-decay
              mycelium
              int-discolor
              sclerotia
              fruit-pods
              fruit-spots
              seed
              mold-growth
              seed-discolor
              seed-size
              shriveling
              roots
              class
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

Stacking

Base classifiers

ZeroR predicts class value: brown-spot
      452 8:brown-spot 8:brown-spot       0.132 
      453 8:brown-spot 8:brown-spot       0.132 
      454 8:brown-spot 8:brown-spot       0.132 
      455 8:brown-spot 8:brown-spot       0.132 
      456 8:brown-spot 8:brown-spot       0.132 
      457 8:brown-spot 8:brown-spot       0.132 
      458 8:brown-spot 8:brown-spot       0.132 
      459 8:brown-spot 8:brown-spot       0.132 
      460 8:brown-spot 8:brown-spot       0.132 
      461 8:brown-spot 8:brown-spot       0.132 
      462 8:brown-spot 8:brown-spot       0.132 
      463 8:brown-spot 8:brown-spot       0.132 
      464 8:brown-spot 8:brown-spot       0.132 
      465 8:brown-spot 8:brown-spot       0.132 
      466 8:brown-spot 8:brown-spot       0.132 
      467 8:brown-spot 8:brown-spot       0.132 
      468 8:brown-spot 8:brown-spot       0.132 
      469 8:brown-spot 8:brown-spot       0.132 
      470 8:brown-spot 8:brown-spot       0.132 
      471 8:brown-spot 8:brown-spot       0.132 
      472 8:brown-spot 8:brown-spot       0.132 
      473 8:brown-spot 8:brown-spot       0.132 
      474 8:brown-spot 8:brown-spot       0.132 
      475 8:brown-spot 8:brown-spot       0.132 
      476 8:brown-spot 8:brown-spot       0.132 
      477 8:brown-spot 8:brown-spot       0.132 
      478 8:brown-spot 8:brown-spot       0.132 
      479 8:brown-spot 8:brown-spot       0.132 
      480 8:brown-spot 8:brown-spot       0.132 
      481 8:brown-spot 8:brown-spot       0.132 
      482 9:bacterial-blight 8:brown-spot   +   0.132 
      483 9:bacterial-blight 8:brown-spot   +   0.132 
      484 9:bacterial-blight 8:brown-spot   +   0.132 
      485 9:bacterial-blight 8:brown-spot   +   0.132 
      486 9:bacterial-blight 8:brown-spot   +   0.132 
      487 9:bacterial-blight 8:brown-spot   +   0.132 
      488 9:bacterial-blight 8:brown-spot   +   0.132 
      489 9:bacterial-blight 8:brown-spot   +   0.132 
      490 9:bacterial-blight 8:brown-spot   +   0.132 
      491 9:bacterial-blight 8:brown-spot   +   0.132 
      492 10:bacterial-pustule 8:brown-spot   +   0.132 
      493 10:bacterial-pustule 8:brown-spot   +   0.132 
      494 10:bacterial-pustule 8:brown-spot   +   0.132 
      495 10:bacterial-pustule 8:brown-spot   +   0.132 
      496 10:bacterial-pustule 8:brown-spot   +   0.132 
      497 10:bacterial-pustule 8:brown-spot   +   0.132 
      498 10:bacterial-pustule 8:brown-spot   +   0.132 
      499 10:bacterial-pustule 8:brown-spot   +   0.132 
      500 10:bacterial-pustule 8:brown-spot   +   0.132 
      501 10:bacterial-pustule 8:brown-spot   +   0.132 
      502 11:purple-seed-stain 8:brown-spot   +   0.132 
      503 11:purple-seed-stain 8:brown-spot   +   0.132 
      504 11:purple-seed-stain 8:brown-spot   +   0.132 
      505 11:purple-seed-stain 8:brown-spot   +   0.132 
      506 11:purple-seed-stain 8:brown-spot   +   0.132 
      507 11:purple-seed-stain 8:brown-spot   +   0.132 
      508 11:purple-seed-stain 8:brown-spot   +   0.132 
      509 11:purple-seed-stain 8:brown-spot   +   0.132 
      510 11:purple-seed-stain 8:brown-spot   +   0.132 
      511 11:purple-seed-stain 8:brown-spot   +   0.132 
      512 12:anthracnose 8:brown-spot   +   0.132 
      513 12:anthracnose 8:brown-spot   +   0.132 
      514 12:anthracnose 8:brown-spot   +   0.132 
      515 12:anthracnose 8:brown-spot   +   0.132 
      516 12:anthracnose 8:brown-spot   +   0.132 
      517 12:anthracnose 8:brown-spot   +   0.132 
      518 12:anthracnose 8:brown-spot   +   0.132 
      519 12:anthracnose 8:brown-spot   +   0.132 
      520 12:anthracnose 8:brown-spot   +   0.132 
      521 12:anthracnose 8:brown-spot   +   0.132 
      522 12:anthracnose 8:brown-spot   +   0.132 
      523 12:anthracnose 8:brown-spot   +   0.132 
      524 12:anthracnose 8:brown-spot   +   0.132 
      525 12:anthracnose 8:brown-spot   +   0.132 
      526 12:anthracnose 8:brown-spot   +   0.132 
      527 12:anthracnose 8:brown-spot   +   0.132 
      528 12:anthracnose 8:brown-spot   +   0.132 
      529 12:anthracnose 8:brown-spot   +   0.132 
      530 12:anthracnose 8:brown-spot   +   0.132 
      531 12:anthracnose 8:brown-spot   +   0.132 
      532 12:anthracnose 8:brown-spot   +   0.132 
      533 12:anthracnose 8:brown-spot   +   0.132 
      534 12:anthracnose 8:brown-spot   +   0.132 
      535 12:anthracnose 8:brown-spot   +   0.132 
      536 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      537 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      538 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      539 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      540 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      541 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      542 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      543 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      544 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      545 13:phyllosticta-leaf-spot 8:brown-spot   +   0.132 
      546 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      547 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      548 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      549 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      550 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      551 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      552 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      553 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      554 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      555 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      556 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      557 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      558 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      559 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      560 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      561 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      562 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      563 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      564 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      565 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      566 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      567 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      568 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      569 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      570 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      571 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      572 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      573 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      574 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      575 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      576 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      577 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      578 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      579 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      580 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      581 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      582 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      583 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      584 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      585 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      586 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      587 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      588 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      589 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      590 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      591 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      592 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      593 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      594 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      595 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      596 14:alternarialeaf-spot 8:brown-spot   +   0.132 
      597 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      598 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      599 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      600 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      601 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      602 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      603 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      604 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      605 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      606 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      607 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      608 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      609 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      610 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      611 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      612 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      613 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      614 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      615 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      616 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      617 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      618 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      619 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      620 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      621 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      622 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      623 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      624 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      625 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      626 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      627 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      628 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      629 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      630 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      631 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      632 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      633 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      634 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      635 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      636 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      637 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      638 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      639 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      640 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      641 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      642 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      643 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      644 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      645 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      646 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      647 15:frog-eye-leaf-spot 8:brown-spot   +   0.132 
      648 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      649 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      650 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      651 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      652 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      653 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      654 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      655 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      656 16:diaporthe-pod-&-stem-blight 8:brown-spot   +   0.132 
      657 17:cyst-nematode 8:brown-spot   +   0.132 
      658 17:cyst-nematode 8:brown-spot   +   0.132 
      659 17:cyst-nematode 8:brown-spot   +   0.132 
      660 17:cyst-nematode 8:brown-spot   +   0.132 
      661 17:cyst-nematode 8:brown-spot   +   0.132 
      662 17:cyst-nematode 8:brown-spot   +   0.132 
      663 17:cyst-nematode 8:brown-spot   +   0.132 
      664 17:cyst-nematode 8:brown-spot   +   0.132 
      665 18:2-4-d-injury 8:brown-spot   +   0.132 
      666 18:2-4-d-injury 8:brown-spot   +   0.132 
      667 18:2-4-d-injury 8:brown-spot   +   0.132 
      668 18:2-4-d-injury 8:brown-spot   +   0.132 
      669 18:2-4-d-injury 8:brown-spot   +   0.132 
      670 18:2-4-d-injury 8:brown-spot   +   0.132 
      671 18:2-4-d-injury 8:brown-spot   +   0.132 
      672 18:2-4-d-injury 8:brown-spot   +   0.132 
      673 18:2-4-d-injury 8:brown-spot   +   0.132 
      674 18:2-4-d-injury 8:brown-spot   +   0.132 
      675 18:2-4-d-injury 8:brown-spot   +   0.132 
      676 18:2-4-d-injury 8:brown-spot   +   0.132 
      677 18:2-4-d-injury 8:brown-spot   +   0.132 
      678 18:2-4-d-injury 8:brown-spot   +   0.132 
      679 18:2-4-d-injury 8:brown-spot   +   0.132 
      680 19:herbicide-injury 8:brown-spot   +   0.132 
      681 19:herbicide-injury 8:brown-spot   +   0.132 
      682 19:herbicide-injury 8:brown-spot   +   0.132 
      683 19:herbicide-injury 8:brown-spot   +   0.132 

=== Evaluation on test set ===

Time taken to test model on supplied test set: 0.32 seconds

=== Summary ===

Correctly Classified Instances          92               13.47   %
Incorrectly Classified Instances       591               86.53   %
Kappa statistic                          0     
Mean absolute error                      0.0961
Root mean squared error                  0.2191
Relative absolute error                100      %
Root relative squared error            100      %
Total Number of Instances              683     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     diaporthe-stem-canker
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     charcoal-rot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     rhizoctonia-root-rot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.129     phytophthora-rot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.064     brown-stem-rot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     powdery-mildew
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     downy-mildew
                 1.000    1.000    0.135      1.000    0.237      ?        0.500     0.135     brown-spot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     bacterial-blight
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     bacterial-pustule
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     purple-seed-stain
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.064     anthracnose
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.029     phyllosticta-leaf-spot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.133     alternarialeaf-spot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.133     frog-eye-leaf-spot
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.022     diaporthe-pod-&-stem-blight
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.020     cyst-nematode
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.023     2-4-d-injury
                 0.000    0.000    ?          0.000    ?          ?        0.500     0.012     herbicide-injury
Weighted Avg.    0.135    0.135    ?          0.135    ?          ?        0.500     0.088     

=== Confusion Matrix ===

  a  b  c  d  e  f  g  h  i  j  k  l  m  n  o  p  q  r  s   <-- classified as
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  a = diaporthe-stem-canker
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  b = charcoal-rot
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  c = rhizoctonia-root-rot
  0  0  0  0  0  0  0 88  0  0  0  0  0  0  0  0  0  0  0 |  d = phytophthora-rot
  0  0  0  0  0  0  0 44  0  0  0  0  0  0  0  0  0  0  0 |  e = brown-stem-rot
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  f = powdery-mildew
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  g = downy-mildew
  0  0  0  0  0  0  0 92  0  0  0  0  0  0  0  0  0  0  0 |  h = brown-spot
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  i = bacterial-blight
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  j = bacterial-pustule
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  k = purple-seed-stain
  0  0  0  0  0  0  0 44  0  0  0  0  0  0  0  0  0  0  0 |  l = anthracnose
  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0 |  m = phyllosticta-leaf-spot
  0  0  0  0  0  0  0 91  0  0  0  0  0  0  0  0  0  0  0 |  n = alternarialeaf-spot
  0  0  0  0  0  0  0 91  0  0  0  0  0  0  0  0  0  0  0 |  o = frog-eye-leaf-spot
  0  0  0  0  0  0  0 15  0  0  0  0  0  0  0  0  0  0  0 |  p = diaporthe-pod-&-stem-blight
  0  0  0  0  0  0  0 14  0  0  0  0  0  0  0  0  0  0  0 |  q = cyst-nematode
  0  0  0  0  0  0  0 16  0  0  0  0  0  0  0  0  0  0  0 |  r = 2-4-d-injury
  0  0  0  0  0  0  0  8  0  0  0  0  0  0  0  0  0  0  0 |  s = herbicide-injury

